t_s,x0_m,x1_m,x2_m,v0_m_per_s,v1_m_per_s,v2_m_per_s
0.000164,1.7972544137951294e-09,5.281530614549082e-12,2.5018112181257194e-15,4.374280036339649e-05,1.8588959316618594e-07,1.0307603377556481e-10
0.000166,1.8863461437924506e-09,5.664347152132105e-12,2.715362527449914e-15,4.535619646278003e-05,1.9702377578393268e-07,1.1055696082817145e-10
0.000168,1.9787035642985126e-09,6.069954109511038e-12,2.944317729203576e-15,4.700857598521987e-05,2.0868340195875722e-07,1.184837850842957e-10
0.00016999999999999999,2.0744050959372914e-09,6.499420576800521e-12,3.1895894212866222e-15,4.8700392613253565e-05,2.2088675188060053e-07,1.2687744437416644e-10
0.00017199999999999998,2.1735300661880553e-09,6.953852617544237e-12,3.4521327987809056e-15,5.043209951881013e-05,2.336525196113917e-07,1.357596010898154e-10
0.000174,2.276158708359747e-09,7.434394100844153e-12,3.732947119342302e-15,5.220414935881004e-05,2.4699981746842944e-07,1.451526584855907e-10
0.000176,2.3823721605565735e-09,7.94222754224649e-12,4.033077201364531e-15,5.401699427077518e-05,2.6094818039771964e-07,1.5507977714929973e-10
0.000178,2.492252464634826e-09,8.478574953364217e-12,4.35361495525555e-15,5.587108586844869e-05,2.7551757033714304e-07,1.655648916435548e-10
0.00017999999999999998,2.605882565150953e-09,9.044698700215676e-12,4.695700948166488e-15,5.7766875237424944e-05,2.9072838056940234e-07,1.7663272731688978e-10
0.00018199999999999998,2.7233463083008995e-09,9.641902370258776e-12,5.060526002512231e-15,5.970481293078962e-05,3.066014400646261e-07,1.883088172842136e-10
0.000184,2.8447284408507375e-09,1.0271531648099998e-11,5.4493328286218995e-15,6.168534896477006e-05,3.231580178125701e-07,2.0061951957616238e-10
0.000186,2.9701146090586096e-09,1.0934975199857327e-11,5.8634176918565665e-15,6.370893281439594e-05,3.4041982714430237e-07,2.135920344569081e-10
0.000188,3.0995913575880004e-09,1.1633665566155969e-11,6.3041321145306914e-15,6.57760134091704e-05,3.584090300433124e-07,2.272544219099783e-10
0.00018999999999999998,3.233246128412366e-09,1.236908006373563e-11,6.772884612972831e-15,6.788703912875159e-05,3.771482414459357e-07,2.4163561929163854e-10
0.000192,3.371167259711131e-09,1.3142741695647896e-11,7.271142470060324e-15,7.004245779864484e-05,3.9666053353101044e-07,2.5676545915138473e-10
0.000194,3.513443984757088e-09,1.3956220070022088e-11,7.800433543561694e-15,7.224271668590565e-05,4.169694399986878e-07,2.726746872190887e-10
0.000196,3.660166430795205e-09,1.481113232737782e-11,8.362348110619613e-15,7.448826249485319e-05,4.380989603383096e-07,2.8939498055833805e-10
0.000198,3.811425617912878e-09,1.5709144076462308e-11,8.958540748706385e-15,7.67795413627949e-05,4.600735640852558e-07,3.0695896588550774e-10
0.00019999999999999998,3.967313457901639e-09,1.6651970338590272e-11,9.590732253382904e-15,7.91169988557619e-05,4.829181950666764e-07,3.254002380540951e-10
0.000202,4.127922753110351e-09,1.7641376500464132e-11,1.0260711593191179e-14,8.150107996425542e-05,5.066582756360421e-07,3.4475337870384943e-10
0.000204,4.293347195289899e-09,1.8679179275452018e-11,1.0970337902009524e-14,8.393222909900436e-05,5.313197108963986e-07,3.6505397507422185e-10
0.000206,4.463681364429418e-09,1.9767247673300976e-11,1.1721542509198574e-14,8.641089008673402e-05,5.569288929122704e-07,3.8633863898165885e-10
0.000208,4.639020727584054e-09,2.0907503978262513e-11,1.2516331007865348e-14,8.893750616594638e-05,5.835127049100951e-07,4.08645025960258e-10
0.00020999999999999998,4.819461637694321e-09,2.2101924735607498e-11,1.3356785361571593e-14,9.15125199827113e-05,6.110985254671347e-07,4.3201185456530266e-10
0.000212,5.005101332397025e-09,2.3352541746507286e-11,1.4245066049811676e-14,9.413637358646947e-05,6.397142326887598e-07,4.564789258391873e-10
0.000214,5.196037932827822e-09,2.466144307125771e-11,1.5183414252584328e-14,9.680950842584682e-05,6.693882083740262e-07,4.820871429392427e-10
0.000216,5.392370442415413e-09,2.6030774040822482e-11,1.6174154074381523e-14,9.953236534448064e-05,7.00149342169471e-07,5.088785309269671e-10
0.00021799999999999999,5.594198745667405e-09,2.7462738276672278e-11,1.7219694807916834e-14,0.00010230538457685721,7.320270357110213e-07,5.368962567181641e-10
0.00021999999999999998,5.801623606947849e-09,2.8959598718895743e-11,1.8322533237914548e-14,0.00010512900574416142,7.650512067539541e-07,5.66184649193487e-10
