t_s,x0_m,v0_m_per_s
0.000958,7.068021502558044e-05,0.21812363926109563
0.0009599999999999999,7.111712139035258e-05,0.21878243184579096
0.000962,7.15553437706739e-05,0.21943965277189675
0.0009639999999999999,7.199487901239383e-05,0.22009529122881352
0.000966,7.243572393986222e-05,0.22074933652761086
0.000968,7.2877875356173e-05,0.22140177810136272
0.0009699999999999999,7.332133004340854e-05,0.22205260550547368
0.000972,7.376608476288453e-05,0.22270180841799633
0.0009739999999999999,7.421213625539576e-05,0.22334937663993942
0.000976,7.46594812414622e-05,0.22399530009556706
0.000978,7.510811642157583e-05,0.22463956883268885
0.00098,7.555803847644803e-05,0.22528217302294126
0.000982,7.60092440672575e-05,0.22592310296205984
0.0009839999999999998,7.646172983589872e-05,0.2265623490701423
0.000986,7.691549240523095e-05,0.22719990189190303
0.000988,7.737052837932769e-05,0.22783575209691814
0.00099,7.782683434372665e-05,0.22846989047986221
0.000992,7.828440686568017e-05,0.22910230796073533
0.0009939999999999999,7.874324249440607e-05,0.22973299558508184
0.000996,7.9203337761339e-05,0.23036194452419995
0.000998,7.966468918038218e-05,0.23098914607534254
0.001,8.012729324815934e-05,0.23161459166190884
0.0010019999999999999,8.059114644426733e-05,0.23223827283362744
0.001004,8.105624523152899e-05,0.23286018126673058
0.001006,8.152258605624621e-05,0.23348030876411932
0.001008,8.199016534845351e-05,0.23409864725552004
0.00101,8.245897952217176e-05,0.23471518879763206
0.0010119999999999999,8.292902497566237e-05,0.23532992557426677
0.001014,8.340029809168158e-05,0.23594284989647762
0.001016,8.387279523773505e-05,0.2365539542026814
0.001018,8.434651276633274e-05,0.23716323105877124
0.0010199999999999999,8.482144701524399e-05,0.23777067315822017
